('38375e5428c052d172da731a4c854ead9ace7bea0036e3c2568a06a8cc68f8f2', (('0', '0.01'), ('1', 'b2add0cbd618593d503e50848e1cfc4bf32b80483f20070805d1dc8bf36010e5')))
('3947188f3b0d9d53cccf20a364cd9de0e9f81fdf9bae41d935be03547fb05081', (('0', '0.25'), ('0', '89c298fdf81ca1dedaf89ee9646674f6950f4716f45a6156b3c5d159eec3d8c9')))
('3947188f3b0d9d53cccf20a364cd9de0e9f81fdf9bae41d935be03547fb05081', (('0', '0.25'), ('1', 'fc20ad35c8c6d8eeaf5e8a8e395fea697fb0b92c61754f9a684d27381b34cf84')))
('d7a660851027a8a76a617d00cc2e1bd80d67da92ee7e0a07c9434ae0a1f417b0', (('0', '0.5'), ('1', '3526017dab4ddb27f92a9f8b4a091f50f4b650e9a976f13f462188e61327b1a0')))
('894ee4e7da28bd433b9147d1b78eb24571df1231af194f798bee532f0a8a0924', (('0', '1.0001'), ('0', 'ef0a221433724a18e94f53e7ebc48d44c272cec6958a8e75becc78bae60d04c4')))
('893a3d4f74572c943deed3dcceff19f0faa055b54467edad2c18edcb2665fb57', (('1', '2'), ('0', '2e780b1c044efad538f20141850b62c17dd23a85d605c92b4876f977a7099a23')))
('142768e46bc238bc3452976fb634f385f44fe1ae8ceb965cb641cb704d88dfa5', (('0', '0.385'), ('1', '4e0528e76a65230993cf8b37241bbfdfba3cfb472f5d8d50bf34ae31d6f6ff00')))
('142768e46bc238bc3452976fb634f385f44fe1ae8ceb965cb641cb704d88dfa5', (('0', '0.385'), ('0', 'fd67b2edcaa3b741b83c7c6f1facdfcf1a6fc82ad28a107fbc1d39e2bed8ade2')))
('e96d64795dd24491a078e46ae8532b79f9e2a08179f9aacc80a61f5a093fb3ce', (('0', '0.00280262'), ('1', '1269400e449041b7f7adfe111d66422c4c1a0bdf03b1e0ec3a094e2d319a0b92')))
('eb9c6248e231c1440af0e85f39b0285c62b4b7a0aa2996b81694e3c7664b4ab2', (('1', '0.02'), ('1', '6d325f4b92291952aae8f5239f9ff2dcbae0b13ba78321e375a7174931e0933a')))
('8091f91da2bca045035654e20eb65f122ecda8b656eacdcf36e22729dc383c91', (('0', '0.0645'), ('1', '7f410f8134ee0d5098b05759d512563594cfcf910e910c4d7620b0233aea625d')))
('3ee2388c3f15df3276630162ffd33c7b3c93dd2419a283754408a4dae9b1576d', (('0', '0.0001'), ('11', '5da005bfbcf4eab1e02ed73e31d8c37950e4c100d09055a0edd599ede946c111')))
('33b40f492ad5958ce820b4ec7b42f64c8b8d0c9c8b5cf03068790c9a5fcc56aa', (('0', '0.03'), ('1', '418f58742bb9266fff29606f50ebda7685d65c2db7a33aeae520323a794fa9b4')))
('33b40f492ad5958ce820b4ec7b42f64c8b8d0c9c8b5cf03068790c9a5fcc56aa', (('0', '0.03'), ('2', '36a2c79d14a4409b026d14ab580e02b150e855817f9e1953648dff1a3d8622bb')))
('33b40f492ad5958ce820b4ec7b42f64c8b8d0c9c8b5cf03068790c9a5fcc56aa', (('0', '0.03'), ('1', 'b16cc399b78321c211db8f830027a5d5b0da4bf1765f1a1ac05e3cd7e0f3e365')))
('d6e54b152b4c4f0e850659d1ba07e02da37fbf115facc55e02467407885fd528', (('103', '1e-08'), ('104', '2fec6c7177f157a9a2cbd7da9356fd9dadf0da29b3ce7ee5c0bbf4539c9d8002')))
('37cf4085065dacbba0c465a6069f398552e2dd72b45d31a69954036b0b8c9653', (('1', '4'), ('0', '05d2808dbac4691732bf634bcf607c60961eabb538c2892abed222d4cbad8b61')))
('79626824f8ba895a6da24a9fd1f28b5f5a736bf3279ee126686e4da1507ab9c6', (('1', '0.004248'), ('0', 'e85d3d74b352323266ee0b055469f2eb3a1dd58b4cd1775e94970a495baef61d')))
('69b09b424e9ffce2473b620bb6ae5b0ac520d1224e5ca6d0cb8cac48f9f70ba3', (('0', '0.007'), ('0', '4474ee6b2c46e87c9ae2100baeebed1066a9e9fcd28a4f9adb62a16a6bb3a807')))
('b03f406004270d2118835a2fc77b694c2fbbc21d842872fb3ddf03faad9807fc', (('3', '0.0001'), ('97', '146d2e7cfbb90fc304de9e26202368afd3eb47598c02bf6d9d93fc793ae97302')))
('0c877c155b3cb416a7c1f290c6f744669e0a085a0521a9a29d183284c68895df', (('0', '0.002'), ('0', 'bbf05e004423ca5581b8d559f2c018b898704c2b864e94bdab33c00dbde696cc')))
('3fff010aca09cb2aacc8f60952bd05189a36e4609d10c55ebf6e63840df4820e', (('0', '0.491972'), ('80', '4476aeec1338feaa250a9d92bc00c8f579650e5f4fbd27aa921070a13e698f81')))
('3fff010aca09cb2aacc8f60952bd05189a36e4609d10c55ebf6e63840df4820e', (('0', '0.491972'), ('81', '67d8f286c21653015c2bb7666bcd5556a2955510d770da97473f8c55bd2b4faa')))
('3fff010aca09cb2aacc8f60952bd05189a36e4609d10c55ebf6e63840df4820e', (('0', '0.491972'), ('89', 'b0ed2c38b1f1c9087b87120b4a3460b30d0974d75161d88b0910a6eb7146c5df')))
('3fff010aca09cb2aacc8f60952bd05189a36e4609d10c55ebf6e63840df4820e', (('0', '0.491972'), ('0', '508bdf5b8856d3b3110c325cbf68e64184c5f73112279a311352ae30f1b11b32')))
('3fff010aca09cb2aacc8f60952bd05189a36e4609d10c55ebf6e63840df4820e', (('0', '0.491972'), ('1', '508bdf5b8856d3b3110c325cbf68e64184c5f73112279a311352ae30f1b11b32')))
('3fff010aca09cb2aacc8f60952bd05189a36e4609d10c55ebf6e63840df4820e', (('0', '0.491972'), ('0', '9c05096dd9fefffe5050205c84fe9f2ee70edcf21491858d3d4b2cec142bf9d7')))
('b7870ee858015e7ea7d676de2d832afdbd125bf022d4e3778ba6f49554513816', (('1', '1'), ('0', '3112bd78cd1f60eb55c569929434e773892213a46fa2b087a99be43a4168a987')))
('b7870ee858015e7ea7d676de2d832afdbd125bf022d4e3778ba6f49554513816', (('1', '1'), ('1', '9f895ea453ab7fb4e17b8352dc2fe3b890074ad21922080e305aceea014dd5a1')))
('df6f9ddc4b1d57b83100228deb5670c6063454ea2f96de9bb0ae144eac98f50a', (('1', '0.86206897'), ('1', '4f8c1390e2154b54dea03aa98098691ca005f07fed0df1390b59be49bbcb920b')))
('781674a119050a5a10e302921c084042beb95764aebb4d1b2e3661dca35a49b5', (('1', '0.44442425'), ('1', 'eca4e76acd8b379bff5669280d05c3ba49ae831913e473ed76f4499c72af1559')))
('95c7665a6697d4977498260b478a69016a5e11609ebe127bbea86a32b9e6c869', (('1', '0.041'), ('16', 'e4acff14eea248aeb3dd72bb0f7fc51107b1ee51b9a561db48790cf617b79eb8')))
('95c7665a6697d4977498260b478a69016a5e11609ebe127bbea86a32b9e6c869', (('1', '0.041'), ('62', '81079396389b9de18f16f122f0e23b4cfb7bb0d67e5dbbdb7f65bb98abf012b9')))
('95c7665a6697d4977498260b478a69016a5e11609ebe127bbea86a32b9e6c869', (('1', '0.041'), ('1', '15c1106e0f6703b09db795a72f6370a5bcb3038dcb9f202a6c7f63de95e405d7')))
('95c7665a6697d4977498260b478a69016a5e11609ebe127bbea86a32b9e6c869', (('1', '0.041'), ('0', 'f36b0dbb7d4252958beaeb41343e926503a934fa9a7eafac987a495ba4d22972')))
('461f98109f155b10d28c6b9a5c54a49458be368cf26c5e630580a8bfb04518e9', (('0', '1'), ('0', 'd59513fcb9de45f530f71db66d4f70d6e9e2456ec5dc3d7cc96ee81ee9aff59d')))
('ce94ed3ac75afafb944e31a967781f52ce258bd03579a815413b5e059c8dbca4', (('0', '0.0409'), ('0', 'ba8837a1d7d30b9e9d1b1eaacc0db60b2314d5ffaec6e52beefaa363346d897b')))
('ce94ed3ac75afafb944e31a967781f52ce258bd03579a815413b5e059c8dbca4', (('0', '0.0409'), ('1', '718279bba576344ea603430be6000550d4b8ac01c8e94907daf763fde1ed2a84')))
('94775a120f8c788c888efca339e3bd9c31d5e8ac9935fb577906ed80094734c8', (('0', '0.05'), ('1', 'bc7ed9768502daff3cdfa0f13fe0170e00a0f687ac958c44c97bfd901ce2a285')))
('f2ea377690c82c4a43cbece21a7da4677aa33e7fa46496cba07797a5c8b90447', (('0', '0.025'), ('0', '8b920d1e06c53ac5cc1cd848fa40cc5afa08b2ec47e30851b359498a10858894')))
('f2ea377690c82c4a43cbece21a7da4677aa33e7fa46496cba07797a5c8b90447', (('0', '0.025'), ('0', '19ffaef6d11fda95b46e31dfa420104480e0d20ef6cc710abe4595a50e0e795d')))
('2fec6c7177f157a9a2cbd7da9356fd9dadf0da29b3ce7ee5c0bbf4539c9d8002', (('103', '1e-08'), ('104', '026bb25ab801ad6155c3dc0033741dcde85990c81689e96e64da899fc4700a1b')))
('52b0713ad244bcc4cf76f0cf11006c12b79aa58f28788216fca1283381df0e96', (('1', '5.12043'), ('1', 'c0f48c0d917b78b5fa152d75fdec534eea7083c10ad3056eb4504cf0f9df2446')))
('52b0713ad244bcc4cf76f0cf11006c12b79aa58f28788216fca1283381df0e96', (('1', '5.12043'), ('1', 'bcf0a0a5f50aa2e8323e61d6b3af272cb0400e37e2cffee56b71c6a62bffd43d')))
('52b0713ad244bcc4cf76f0cf11006c12b79aa58f28788216fca1283381df0e96', (('1', '5.12043'), ('1', '20de958f05bac8d98d3c2ae5155c199fde89dace62478942e892e834c8158f58')))
('52b0713ad244bcc4cf76f0cf11006c12b79aa58f28788216fca1283381df0e96', (('1', '5.12043'), ('1', 'dfcb388e0a3f927ba98e4b6ee10b402ad1725765f23d17b9e175ea79a76d0211')))
('52b0713ad244bcc4cf76f0cf11006c12b79aa58f28788216fca1283381df0e96', (('1', '5.12043'), ('0', '3a84b26dc726c61bb526acb6eb3450c05a33b5c60a1c24a4c8332da2ada1ae94')))
('7e575f2f562136eaf234a74ce5f66320a3678e3c840bd1f6c16d5b1134e0ed87', (('1', '2'), ('13', 'b44932ad126ab2409bb17e6fd8ab57508c44f9e3f10f71c577b172a1d465a327')))
('7e575f2f562136eaf234a74ce5f66320a3678e3c840bd1f6c16d5b1134e0ed87', (('1', '2'), ('0', 'a0b8b2a43e5031ef8121b20280686bf55a77646c33a494f7275480b2baae2020')))
('3da8675383602f651a246a8e9947f8ee27fce13d2ba31201de1d5631d1c47569', (('1', '5'), ('0', '0fafa8bce9099a3fc5df3d4e42c0e081a8f5a06eb656a07fab155078857b903c')))
('73afc52c95db1fdeb6985a187bef17bd04c6d7a1c56557790c58c0a4db1121b4', (('0', '0.004'), ('0', '005e94e87fe0a05522407a7f221288056b46c6db3a76e54de4ae5d8e6e1fa992')))
('0d29d80b429215b238f270933d7113b06fc37a0b07894871dca8208b4415f1c4', (('0', '0.1'), ('1', '81117aa9941549df271f688a731a6c70c15dcec56ab89eed1662fe956241c11d')))
('40fcb987b63d2d3e385fd136f09f4a0f15ed77a272c26d817539c117070d8d41', (('1', '0.1'), ('0', 'ff553d1ec79b4867b31249bde5c99e859323e63e5d82363d4dde9995cc88fd26')))
('40fcb987b63d2d3e385fd136f09f4a0f15ed77a272c26d817539c117070d8d41', (('1', '0.1'), ('117', 'e0e3e8435c053336180ca03482404cad817e1a8efd98163ad5df2d1449b792c8')))
('40fcb987b63d2d3e385fd136f09f4a0f15ed77a272c26d817539c117070d8d41', (('1', '0.1'), ('1', 'a4505f1044656640e2cf17574e8f19950d01bd0b67318f53845d77e52900ddde')))
('d35e34fb33222a866bbacc4966cfce628bc94057c865a77bcecdfa08959de543', (('0', '0.06794345'), ('1', '8d92fa0c6f0d4958d77d5c2a1fd7930d94a6d769c718814d344ee4289577271d')))
('ca3979ebfea7b0956eeb32869cd4e0e354b5a6f613110c2562a665b773097600', (('103', '1e-08'), ('104', 'bda734cab4b9ac1e7be8ee5fd7f6ac33af54acd4f193517aa88110eec3481ceb')))
('0008291614a680a9d7c13bed40e82a0a8122dfcdf1faa8c61513bc9dd7ed5c61', (('1', '0.0154'), ('1', '9690165e879e8a9117a8f017dcccdb90bbe3c11899bbbbf91cc932dbb834fe9f')))
('48d35349c4773063aef18d0a7507c93ccd75e41d00971ab50fbc9f828d713c10', (('1', '0.06'), ('1', '1c0246603d5f19127f771fcab5fd095b45964a37d06757fe742a953db242a7c0')))
('114d00c834ae95ed40b948acbb205cffe27b5d18ce998a41bd1f58a4e8aed539', (('0', '0.5'), ('0', '2cfbd9d978a31998356faad79d17e839789a63dabfb4d5c1a561e3bc5a6f17a7')))
('8c31a52108d86d3feb3c71a92a7bca1cf2a6262f6637ea42584c35929b1bc5df', (('0', '0.999'), ('0', '990ccf6e2e7de24048e7dc3b211e4f61f9c539fd0ca0aa07018dba2f3848d226')))
('1635c46ffd9eae2ab32bd27ae3c1f27e6d46b59fada19beb67a8e629f191460b', (('0', '4.473'), ('1', '88fdd4e53f2b894d5c750d555ef004cc0c45febaa4f7c2247510194e9f6ca811')))
('0c0e58ae676f5a730026a6f0839d5503c32b82afef37e72a5bc62ba5c3c3558f', (('0', '1.00091914'), ('0', '078a428d71d042458bbdaa9f179b05457509ed7a38a5b9d8911fa346044529b5')))
('ac196df899cb2c90840637a1a0bc13bbaa46740ac527adb43f7b4fe91686be07', (('103', '1e-08'), ('104', 'ce71b791ea2464e597161f971c8b18ea4291d16760c6c626af7bf98e3bb7dbc3')))
('1dfb6dca25b8d528a0d8095064ca86031cb34ff66e6099c9d8ec8a0ae165c2e5', (('1', '0.1'), ('0', '3305cc753bc999dfa2f77f68fec30358c16d471a32ea204b560e0d8d679f8097')))
('a232b839388eaf015fbb1f80e8049e45c05c4b41c70f727d15269c5ea2e79a1f', (('1', '0.0001'), ('1', 'ab7cb7a0e58d7c9d26f95885273d45a312832c82a2560ca541106123c1cbde28')))
('3dc7b07762700f28699dac2ecec1b0aabc86860fd6addeb22c187ea5ac24cae3', (('1', '0.03'), ('0', 'f7eb640412ca5010df87f3f5c1fc26352cd574cdb2f6e958c123fd374725ac6b')))
('d3f878dad071c405b9f7f9ffcdafcf71725ffc608a8442d7557f567d302b4384', (('0', '0.01213444'), ('1', '38050506247226c85804078f7e83e5e8cbc5bb6199747afa0d3487ece5367010')))
('d9f694595b7470c1ce478d87bbcb781ace0b72d729178ed2c2b302aab0a9c3f7', (('4', '0.0001'), ('0', '01822589ef75f59576e873b7a5cb2f522b2d554d0eeda10f299b9eab50248999')))
('d9f694595b7470c1ce478d87bbcb781ace0b72d729178ed2c2b302aab0a9c3f7', (('4', '0.0001'), ('4', 'c20988d69aadb367e85b07ef972b88b81471e38c2316062168b224327b70fd84')))
('cf55a421b52900f28ce86883c0306327a0dcb819c2a617df97ebfaccf453a506', (('1', '0.2'), ('0', '712da7e10b38f84e766005f9c8e2a1a9a14f99eb2322dd7e83911e5afdbb10ea')))
('2645941dc0a36ca0094d19e96af8026e52d1e2683fc21b4abceae313a095354d', (('1', '1'), ('19', '4b14420939231f457f57f4fde46c844c6833f0cd2ee7bb38895f28b9d0b8a4c1')))
('8efe01fd3c722f4fb4de002973d77f13df1e39100f519a8914c79dc85f36b0c6', (('0', '2.4'), ('790', '1c19389b0461f0901d8eace260764691926a5636c74bd8a3cc68db08dbbeb80a')))
('8efe01fd3c722f4fb4de002973d77f13df1e39100f519a8914c79dc85f36b0c6', (('0', '2.4'), ('22', '06eed2f6cbf45745de8192188852aeb44dee4a39704836cad241dc0c69986d7e')))
('8efe01fd3c722f4fb4de002973d77f13df1e39100f519a8914c79dc85f36b0c6', (('0', '2.4'), ('20', '5d5be293475a6233253f034ada0e4139d9bfae1971e0ca1954c691a47754fcc2')))
('5e805543d07511272db143b7689b2fac453952c158aa12cbe8de64d92dc34aad', (('0', '0.049'), ('0', '67b689ec390ddaebdef29e855012a00fe685fba177bc57e87447083bd2703275')))
('b6517a84c1be39a2bd36954c3555dff64a82137c5bfa7a43b56c75f23ceeae4f', (('1', '1'), ('20', '683b6b8f8ae9589e961b6c34518bd3f508aefcbecfb1043a99d90e939c68a1db')))
('b6517a84c1be39a2bd36954c3555dff64a82137c5bfa7a43b56c75f23ceeae4f', (('1', '1'), ('0', 'b1da10022ba3a8670ec01eb6e8f15a1c3ce87ef46843623b519be8c4ea0ada79')))
('b6517a84c1be39a2bd36954c3555dff64a82137c5bfa7a43b56c75f23ceeae4f', (('1', '1'), ('8', 'c7d996a092291d6956d392b4a0f24c89573f87132e3cdf908108ed47ee8efc60')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('34', '68fb41605bc4717c8d6f9919c7fa5a038fce38c74b6641701a688317ebd33528')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('40', 'bc978b21e99179aa6689a80e06c69fe67848935307e644800c2402d0c299043a')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('23', '2812edc69061444d132e688e35616c278ad1433bfdf734648a9bfe81c75bb542')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('25', 'fda8d00c7b552e226823cb5ec21b088ffbc73bc225133e26e867960587cf5c48')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('40', '3b5829195f289d5f10d851a6e835042f52bdece217e03ae66c041ba99bdb6489')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('19', '81efc59ca4e5607a6e7b9817e34bff10735cfca8b1cdb7ba29b4cb0f707c1594')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('37', 'ff9c54e209519b99e9406c50346d66a80bfd99394bb0a471bb9d26371f7e99a1')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('13', '5c8a6dc904eef5e60045ed60eafaf8c31d3abcc9216322b96524e125ee0a4ebc')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('69', 'f752e3148ff2dd713f790eebe119158f24e8cf6e7367779e16aac158d315c1e4')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('22', 'a5ebfd16a7953f4b24e04fde579f30dacf46eae6c9f5f2ae8c767e89873a8bf6')))
('9998678114563923e107babc066f8ea658ef30e07f3694363a1b14dea4188c4a', (('1', '3.003'), ('23', '22327a014c46eb8cc327de0920224cc76959a46087e40085f1eab47ee9c51aff')))
('c203ce4d481aab469cb60330b191a0a2f428ce31e3920e9ea3473f6ba10561ed', (('0', '0.00018312'), ('43', '321e1e78e1dbab8e845103b1b51fad43a2c385103c437eafd07e361f21f15ab0')))
('c203ce4d481aab469cb60330b191a0a2f428ce31e3920e9ea3473f6ba10561ed', (('0', '0.00018312'), ('1', 'a6f5267d6c8711c4cb8f7bc1e4bf46fa431ae5c626e417a4d335ce20be81ee71')))
('d5d24f851b07478396efc8e815d6fa59b3090c0cb620118471c8130ef3e991e0', (('14', '7.5e-06'), ('150', '6691e8142dee6929b247199319e0bd109422dafb830479d4a6acba301df48a50')))
('799977c85d5e60119db52080ae9db8a357f75042634b5844278e0926e8d75060', (('0', '0.038'), ('1', '70af38c0717c129aa54b8d3259b5fcf61e0070a770e5605286df85170825f1cf')))
('d9343ee60ecec05f7c5948676979d0b82db846d422de879a72b64ab8f51fad37', (('0', '0.02269504'), ('1', 'ea5c55898d9cb26e294320ed4dc7e305a1b91ddb3c23fe96afb272549b992f14')))
('cf013c7d9383b3feee2ac7ff0757409f632f276e443ca9cc9544d16c314804fa', (('0', '0.05'), ('34', '60ce71de5525be435fd5b081151cebe754bf12046578efbaac2fc5a8ea8a1dc7')))
('cf013c7d9383b3feee2ac7ff0757409f632f276e443ca9cc9544d16c314804fa', (('0', '0.05'), ('10', '217524f780c2d3261ea135d9ff0d73482c4cb292d1decae86274f599066186bf')))
('5bb655998675a3d8266caaf612930975f04a9f3ab611d61369212f17356f02b9', (('0', '1'), ('0', '455dc81cf7e036c6e77a496351f5352b9c30cc1bc6f9cb59a86331a8b3c971c9')))
('aa1d45afe8b61f1a3fa58e1dad2d4054fb8e731e9c6fb5041e950b306d34cfe6', (('1', '0.07'), ('0', '96a074f8f0286a79464489abdcb59074f24f28e6165804e1411a92ff483edc03')))
('6256a2ef7b7ad46a967d510cf19e9b23958ce9b6fea3835fc0734fd988b6a989', (('1', '1.1'), ('1', '893641ba80db16037d030027c45d7bab6dceef294c12efb8870516ac7839a0ff')))
('415b9080b5d1cec3e35d0b3ad62753d58d30dc6e59ec2e43acb7992c888f72d2', (('0', '2'), ('1', 'b1895b15a684a7cec8f29a9a8fa6622c8436bf99889ecd498fb93bfdc9770565')))
('415b9080b5d1cec3e35d0b3ad62753d58d30dc6e59ec2e43acb7992c888f72d2', (('0', '2'), ('1', '6c3c51af580ff21380648fd965942b44eb509f590faa4e0e183cbdd6ccca19a6')))
('f6b1ea61409878e9acc1ee4da3fd8048d88085d63355dc9983e174db0ceb5a7f', (('1', '0.01467859'), ('1', '0922e4a42031392ae5553301d124f933c1d8d6cb72bf6cd2d4f6df1db62a7e27')))
('f6b1ea61409878e9acc1ee4da3fd8048d88085d63355dc9983e174db0ceb5a7f', (('1', '0.01467859'), ('5', '6e265d6167c53fe8a855a8ac5fe583c8a7781d12b83a3179cb86d6e3e7c0aa9b')))
('476a1e26540d929c7d6ba4ca4f0d9ff8de327838c2bdd1086c4639cfe68bedf4', (('0', '1'), ('1', '85053f4da5f79a6443ef48e70bcd3108509ee5563cceb30e8ed2c4960be1fe6a')))
('51bb0f4588390fa1d564ff2371b26a8acd3e074f68d9c9c879bc533bda467db9', (('1', '0.74349442'), ('1', '05b8addb9c74962a290a73efe3e86bd5bab9967d1c88a57799ed1cd0d21e22ab')))
('51bb0f4588390fa1d564ff2371b26a8acd3e074f68d9c9c879bc533bda467db9', (('1', '0.74349442'), ('0', '624c0581efc22b8a0c83766c8c323df1b1e04ec7ba5be0e850b14d90ec6fe73d')))
('51bb0f4588390fa1d564ff2371b26a8acd3e074f68d9c9c879bc533bda467db9', (('1', '0.74349442'), ('0', '996239bc80c68f8448a9d2f4e62c07be9f088a9e4fb7acc8dbf8150a2ab69b1f')))
('5292fb2f47e6bad235df310032d416c2f2034d3495b925ad4590ae5e2aad525e', (('0', '0.01925854'), ('1', '7bb0f6b1b18389f63bdb8dccf72e327f7c9ba9df589014dc5e314cd5ecec7f75')))
('b7bf840fe8f14bfaa8683be719c84e309f0b7ceea0446a6ae7113e8107a2371c', (('4', '0.0001'), ('106', '185630f299411b6f480d26ae17d81ab9d3603b95bea0a3a766efa800bd1626a8')))
('e9283b9a5103375ee8d310f1cf5c43c84b97f3c81af329868b7b1453edcd7386', (('1', '4'), ('1', '5928c28113583b83a0f8de304e90629cf15d41cf3751511a482ddcf5692edb3c')))
('9776da2dbb1475c647117fe6888a4343c9ab8480b72a393ba09f32aa396a2d49', (('1', '0.2'), ('1', '473cc38c7da723982b7fb4c409c7b122a9e3c48f45c53d91a1f7c4f6b02c8b58')))
('0af88a0f2c2ba1af391470fb4e9a3620cda93cc17ebb7aced2bccb0ae9c80315', (('1', '1.000438'), ('29', '12e3d8cf2e5c3a9e016c99bc49430c53274cfb7f22e12354fa59ce21c8f9e856')))
('0af88a0f2c2ba1af391470fb4e9a3620cda93cc17ebb7aced2bccb0ae9c80315', (('1', '1.000438'), ('4', '802408c0f61b966b0458da12b66eed9f6d5eb0d92bb948f3c55f96d6222bde63')))
('0af88a0f2c2ba1af391470fb4e9a3620cda93cc17ebb7aced2bccb0ae9c80315', (('1', '1.000438'), ('42', '7424118d4287476874d65824a0cdda4128d7267daa5f6c74feaad214e34bb67c')))
('0af88a0f2c2ba1af391470fb4e9a3620cda93cc17ebb7aced2bccb0ae9c80315', (('1', '1.000438'), ('0', 'd58de0dd15a8f8bf75d4c7080b309749799d6feea870bc5f38781ece114a82df')))
('0af88a0f2c2ba1af391470fb4e9a3620cda93cc17ebb7aced2bccb0ae9c80315', (('1', '1.000438'), ('37', '358f5e97ff4d1902f3b8b58e9cde55e037d43fdbff3b94de80ac8b9dffd659e9')))
('0af88a0f2c2ba1af391470fb4e9a3620cda93cc17ebb7aced2bccb0ae9c80315', (('1', '1.000438'), ('24', '566df9eccc7f3f894412fcca8ffa5cc5a15103b7567721ebd660fb8e5c739dc3')))
('14b2a1be0691aef49ef851d632b9ac0b2d70042f2c9eb74c211292e26f0292be', (('0', '0.9848'), ('0', 'fdf31212f21bed7fb86d7191cb895bb9aff74551edda76f8670743802874f8da')))
('69c3686eb7f4b50b615c5c17d6b5a440e091382ffeb8d57f2b51b622d3e9a65e', (('1', '2.00107701'), ('1', '24e315354cff68834e37e0ef470056ce18df7217adb1ad2a6b84c121a190bd06')))
('31f99f0a39472d41f894cab407dca284b3b09878381865fbff7ce74e6c4af845', (('1', '0.005'), ('0', 'ed68a3ac5243d4e0eaf6158c55f00e91b166a8f2e68ed0e9b3a652d18602ad0c')))
('31a792632c9c93ba642279aa01a930d62dfbdb9d15a70a2f5809aa2e34bd9d06', (('1', '0.01'), ('0', 'e429d4ae3d66cf0fad71dd092bef82eaaadf379269df404f10ef71b27cd6c535')))
('54b981570e73139ee0a7e959c026418c04823e64304d1897b3bdda21d32b297c', (('1', '1'), ('0', '60e8f81a889957d58dad0d99481306e211898ea2258fa233fc192b7bcf99f004')))
('00911db46added579bf47794b3140a197fa0c1501d77f9105f0e70695deef671', (('0', '0.1'), ('0', 'd5510a86a9a716b81eb32f5837c0cbae14d1f478c1c5463ab899d72f0165d2de')))
('00911db46added579bf47794b3140a197fa0c1501d77f9105f0e70695deef671', (('0', '0.1'), ('0', 'e67804953bc3728e2375a38a42916f9539357cf3d6cb6b2ae66c6de509e5a3df')))
('f967b6046e9018ea7fa6606ee2b0b26bcaf8bbaaee3871fccbecfb7a19cf071b', (('1', '0.25'), ('34', '518ee81352201878b786a01a1499714fe4fed6604cd4d446a17c437ab845bfb6')))
('f967b6046e9018ea7fa6606ee2b0b26bcaf8bbaaee3871fccbecfb7a19cf071b', (('1', '0.25'), ('0', 'dbc6db90e4cceba5680063f824a63a10c2446dd33c5289cecb1221b99a43c94e')))
('f967b6046e9018ea7fa6606ee2b0b26bcaf8bbaaee3871fccbecfb7a19cf071b', (('1', '0.25'), ('1', 'c4aa506b1c71884e802d2d4c28d6084d66d79b0413b5b4c5834af32f47361f26')))
('b6419ff7b6c618cd5b6c90178c02f4d082da3ea34aa1f8f68bc21aa72ec04c41', (('0', '0.05747'), ('0', '8aedb9d8c30fb9a718bca617bd4d2097c625237a33d27e23ddefe7e773a744ef')))
('ee2222caa459b6197f4496357270cdbc7e59e95e0c6c46be0d8e31c52d386634', (('0', '0.05'), ('1', '68475a66a11ea5ef08a484460fdcf7ca5a4a46fa75ae927a48a2da4ba5c47fcb')))
('2e7df5844fef235c8770e382473bfa56e98586b9a7da0541ae795f60e9dd5b3f', (('1', '0.05'), ('1', '2dcfaee74fef360253485bc131da6bcc826e362f30c0f72c0c7e4bf6ce0c20dc')))
('2aa313b5f4dcaba4165898f5355336bba4d5add1c0ee69e36a69d2d1d76655d6', (('1', '10'), ('0', '77ef29ac8c7e4367cd54707efab6d2a56317d2f160fb69fe6b06904edfdc456e')))
('80afae53b4940a53d3c4bb66cbff4e2ec519221e26de4348e5016550168bde04', (('1', '9.9'), ('55', '9be7951af133582b2d917e7d924d6ce946bf1caebf51ed5ccf79dab4f774ed17')))
('b8bed7c302ea001976284d333572c66b6a1715358f32524dd193125da78bdaf7', (('0', '1'), ('1', 'e48d0fd9a5e0b7bcb4f439a7bdb1fb6caf9641e2307d1d6d67e625ef18fe7676')))
